UUID,Description 1,Domains,AttributeNameENG,Categories,ACS Definition
750febf6-351d-4edd-b875-76585e9b9de5,TransferShower:BookableUnit,ROOM_UNIT,Transfer shower,"Accessibility, Bathroom, LCS, PartnerCentral:Accessibility, StructuredAttributeContent",This bookable unit has a bathroom with a transfer shower (a shower designed so a person in a wheelchair can transfer onto a wall-mounted shower seat)
a273807e-1b43-11ea-978f-2e728ce88125,SecurityAlarmFeatures:BookableUnit,ROOM_UNIT,Security system,"LCS, PartnerCentral:TravelerSafety, Safety, StructuredAttributeContent, Vrbo",The unit features a security alarm system for traveler safety
b4e9b8f0-6ba2-45af-a1f9-fcc0c46798d1,PickleballCourt:Onsite,PROPERTY,Pickleball court on site,"LCS, PartnerCentral:Sports, Sport, Vrbo",A pickleball court is available at the property
47853723-fd74-479c-89ac-04fea39a8b71,xAreaShuttle:Dropoff:Free,PROPERTY,Free area shuttle drop-off,"LCS, PartnerCentral:OtherTransportation","An area shuttle drops off guests for free
Deleted per CAM 277
Base attribute = AreaShuttle
Base term = Dropoff, Free
Category = PartnerCentral:OtherTransportation "
ff6b6576-6643-4fcc-9200-a639aa5db902,StarRating,PROPERTY,Star rating,null,"A star rating is assigned to every property, either according to a tourism board or EG's classification standards"
1e87d580-2658-417f-9728-ce28f648afee,SkiLiftPrivileges,PROPERTY; ROOM_UNIT,Ski lift privileges,"LCS, PartnerCentral:SkiingAndSnowboarding, PartnerCentral:VrboPropertyLocation, Ski, Sport, StructuredAttributeContent, Vrbo, WinterSport",Priority entry to access ski lifts is available
2ada7cd6-2882-42e6-a5f7-d9e0f1882782,xMultipleLocations,PROPERTY,xKBYG-Multiple locations,"KBYG, Policy","Unused, partially deprecated template with deprecated LCM mapping, completed deprecation as part of E2E Audit
Base Attribute: MultipleLocations"
e0bf4f69-2c44-11b2-8099-ba344c143c93,ContactlessService:CheckIn,PROPERTY,Contactless check-in is available,"CheckInCheckOut, KBYG, LCS, PartnerCentral:TravelerSafety, Safety, StayPolicy, StructuredAttributeContent, Vrbo",Contactless check-in is available
aaae13c8-0bba-11ea-8d71-362b9e155667,Pets:ProvisionalAvailability,PROPERTY,Pets considered,"PartnerCentral:Pets, ServiceAnimalsAndPets, StructuredAttributeContent","Pets may be allowed by this property, the property owner will determine if a pet may stay or not. This amenity should be limited to VR properties only and may be used in conjunction with Pets:MaximumWeight"
607084ce-44f8-4610-9850-748f689d1c8f,ShoppingCenterShuttle,PROPERTY,Shopping center shuttle,Transportation,Transportation is available to/from a nearby shopping area
9062a763-97f7-45ed-918a-de4ae9f5759d,Lounge,PROPERTY,Lounge,SearchFilter:Bar,A venue where alcoholic beverages are served
7ebfc877-e467-4b69-a039-2cfe3c2ac633,HealthDocuments,PROPERTY,Health documents,"StayPolicy, StructuredAttributeContent",Health documents policies
a99fb4d8-6803-4e96-a103-8d759145ef20,MoldovanSpoken,PROPERTY,Moldovan,"ContentScore, Language, LCS, PartnerCentral:Languages, StructuredAttributeContent",This language is spoken by staff at this property: Moldovan
32db787a-8efc-4848-a3a0-e9baa96541cc,WiFi:UnknownAvailability,PROPERTY,No WiFi,"ContentScore, Internet, PartnerCentral:Internet",It is unknown whether WiFi access is available at the property
4d7fe653-7efe-4388-927c-c63ca808e331,ScubaDiving:AllInclusive,PROPERTY,Scuba diving excursions included,"AllInclusive, LCS, PartnerCentral:AlllnclusiveActivities",Scuba diving excursions are included in all-inclusive rate plans
cc5a4911-b54b-42cc-8205-83ddb17beb0c,PropertyTheme,LODGING_UNDEFINED,Property theme,null,Themes are used to match a certain type of traveler with a corresponding type of property; a property can have multiple themes (https://confluence.expedia.biz/display/SR/Themes+Definitions)
933ad085-4f94-4ad7-a441-09346fdc7fa0,NationalPark:SiteLocation,PROPERTY,In national park,"ContentScore, LCS, Location, PartnerCentral:NatureHighlights, StructuredAttributeContent",This property is in a national park
15a9a2bc-67b9-437a-a99f-6ee49dbe05bb,Pool:Multiple:TemporaryClosure,PROPERTY,One of multiple swimming pools,"Closure, PartnerCentral:Closures, Pool, WaterBasedActivity",One of multiple swimming pools at the property is temporarily closed
7a754015-6963-469b-8f5e-e56e64c3f17b,BottledWine:Free:PerDay:PerRoom:ValueAdd,VALUE_ADD_PROMOTION,1 Free bottle of wine per day,"FoodAndBeverage, RatePlan, StandardValueAdd, ValueAdd, ValueAddPromotion",Value add promotion inclusion for free bottle of wine per room per day
df852b64-4d0e-11ea-b77f-2e728ce88125,WePay,PROPERTY,WePay,"LCS, PartnerCentral:PaymentMethods, PaymentMethods, StructuredAttributeContent",WePay is a mobile app accepted for payments on site
600f6510-027d-4e8b-ab13-d439e2e1b1f5,Smartphone:Calls:Limited:BookableUnit,ROOM_UNIT,Limited free calls,"LCS, PartnerCentral:Conveniences, StructuredAttributeContent","This room has smartphones, or mobile device with interactive touchscreen, with limited call service available"
0eb6f0a0-38a3-11ea-a137-2e728ce88125,FullBathroom:Toilet:Instance3,PROPERTY,FullBathrm3-Toilet(s),"Bathroom, LCS, Vrbo",The third full bathroom has one or more toilets
e79a7852-4f0a-46e5-8c47-e5e730163467,Airport:SiteLocation,PROPERTY,Connected to airport,"AirportTransfer, ContentScore, LCS, Location, PartnerCentral:CityHighlights, StructuredAttributeContent",This property is inside an airport terminal or connected to it by a covered walkway
aaae5aa4-0bba-11ea-8d71-362b9e155667,LuxuryTheme:AuthorizedManualRemoval,PROPERTY,"THEME OVER-RIDE, REMOVE LUXURY","NonPartnerCentral, PropertyTheme","This override attribute is used to manually delete the Luxury theme when properties request removal and for certain structure types: Motel, Hostel/Backpacker, Hostal, Pousada (Brazil), Campsite, and Capsule hotel (https://confluence.expedia.biz/display/SR/Luxury)"
94e52703-dedd-441c-95a1-2ea93fd08ff8,BabyBathtub:ForChildren:BookableUnit,ROOM_UNIT,Baby bath,"Bathroom, FamilyAndChildren, LCS, PartnerCentral:FamilyAndChildren, StructuredAttributeContent",A small portable tub used for bathing infants/babies is available in this bookable unit
647efc15-2c4d-11b2-80cb-7ed933a6d108,CityTax:Fee:Mandatory:VariableFee:Instance3,PROPERTY,dynamic city tax - third instance,"MandatoryFee, NonPartnerCentral, Taxation",Third instance of the mandatory variable city tax fee
fb88c134-f504-11e9-802a-5aa538984bd8,WardrobeOrCloset:BookableUnit,ROOM_UNIT,Wardrobe or closet,"LCS, PartnerCentral:RoomLayout, StructuredAttributeContent",This bookable unit has a wardrobe or closet
104f3410-6572-4f22-b200-dd15d023826f,DinersClub:UnknownAvailability,PROPERTY,Diners Club not accepted,"ContentScore, PartnerCentral:PaymentMethods, PaymentMethods",It is unknown if Diners Club credit cards are accepted as a form of payment at the property
ab390bc5-779f-4d13-bb5e-e680bf6405b6,CheckOut,PROPERTY; ROOM_UNIT,Checkout,"CheckInCheckOut, ContentQualityScore, ContentScore, LCS, PartnerCentral:CheckinAndCheckout, StayPolicy, StructuredAttributeContent",The property has additional check-out amenities assigned
da30af8b-9202-424a-b86a-ec94a7349e30,TravelerHealth,PROPERTY,Traveler health,PartnerCentral:TravelerSafety,Broader concept for traveler health-related attributes
f15c8c36-d3aa-4f54-a7bb-41adb3dc0995,Composting,PROPERTY,Composting,"LCS, PartnerCentral:Green, StructuredAttributeContent, Sustainability, Vrbo","The property composts the biomatter it generates (e.g. food scraps, grass clippings, coffee grounds) or participates in a local or municipal composting program"
366c7911-30c5-4f40-a480-68446dc2542f,AdditionalSpaFacilities,PROPERTY,AdditionalSpaFacilities,Spa,"Parent template to hold additional spa facilities, not encompassed in the Spa: attributes"
71c05164-38a3-11ea-a137-2e728ce88125,OtherSleepArea:DoubleBed,PROPERTY,OtherSlpArea1-Double bed(s),"LCS, Vrbo",The sleeping area has one or more double beds
64d27461-9d86-40fd-97b9-1184202ebe6e,Casino:UnknownAvailability,PROPERTY,No casino,"ContentScore, PartnerCentral:CasinoAndGaming, PartnerCentral:GameAndEntertainment",It is unknown if a casino (building or room where gambling games are played) is onsite
50629d27-b33d-42e3-874a-1e3f9ae83f06,SmartLock,PROPERTY,Smart lock,"CheckInCheckOut, ContentQualityScore, ContentScore, PartnerCentral:CheckinAndCheckout, StayPolicy, StructuredAttributeContent",Check-in involves a smart lock
2370529e-415e-42f3-bf83-4d548985c8f2,Minibar:Free:ValueAdd,RATE_PLAN,Free minibar,"FoodAndBeverage, Kitchen, LCS, RatePlan, RoomRefreshment, StandardValueAdd, ValueAdd",This rate plan includes all items in the minibar
e2adbbae-d92b-4de4-8dc6-19b079b0d2ee,KaisekiMeal,PROPERTY,Kaiseki meal,"Dining, FoodAndBeverage, LCS, PartnerCentral:RyokanFacilities, Restaurant, Ryokan",Traditional Japanese fine-dining cuisine (kaiseki) is available at this ryokan property
9a268ee3-aecc-4cf0-9682-69296cafe3b7,RiceCooker:BookableUnit,ROOM_UNIT,Rice cooker,"Kitchen, LCS, PartnerCentral:KitchenFeatures, StructuredAttributeContent, Vrbo",This bookable unit has a rice cooker (countertop appliance used to steam rice)
ae1001e3-9bc2-4064-912f-bd386d887b16,Restaurant:Instance5:SelectDays,PROPERTY,Open select days,"Dining, FoodAndBeverage, PartnerCentral:Dining, Restaurant",The fifth dining venue is open on designated days of the week
86fbd94c-43b9-11ea-b77f-2e728ce88125,xKitchen:Shared:AmountFee:BookableUnit,ROOM_UNIT,Shared communal kitchen access (surcharge),null,"Deprecated due to CAM-479
Base attribute: Kitchen
Base term: AmountFee, BookableUnit, Shared
This bookable unit has access for a fee to a common kitchen area for preparing, cooking, or consuming food"
4cffa77f-4127-4c9a-b2eb-a3b2cc54a465,HeatedPool:AmountFee:Mandatory,PROPERTY,Required heated pool fee amount,"Fee, MandatoryFee, PartnerCentral:FacilityFee, Pool, WaterBasedActivity",A required fee for use of the heated pool at the property
229bc8e4-0e57-477b-a613-ff1215e2979b,xBabyLounger:ForChildren,LODGING_UNDEFINED,Baby lounger,null,Deprecated per CAM-226 (https://jira.expedia.biz/browse/CAM-226); Base attribute removed: BabyLounger; base term removed: ForChildren
65f46473-6478-4603-8680-6b886333d016,AirportShuttle:Free:ValueAdd,RATE_PLAN,Free airport shuttle,"AirportTransfer, LCS, RatePlan, SearchFilter:FreeAirportTransportation, StandardValueAdd, Transportation, ValueAdd",This rate plan includes shuttle service to and/or from the airport
a8cbbf4a-dd4f-4973-8752-038d87f52874,Restaurant:Instance5:ReservationRequired,PROPERTY,Reservations required,"Dining, FoodAndBeverage, PartnerCentral:Dining, Restaurant",Guests must reserve a table in advance at the fifth dining venue
33b299e4-824f-4b45-97ea-92b7769a33da,PolishSpoken,PROPERTY; ROOM_UNIT,Polish,"ContentScore, Language, LCS, PartnerCentral:Languages, StructuredAttributeContent, Vrbo",This language is spoken by staff at this property: Polish
d9a8e397-e525-4744-a892-c83d3df0a04e,PropertyPolicy:GuestRestrictions,PROPERTY,Property policy - guest restrictions,"LCS, PartnerCentral:CatersTo, StayPolicy",Broader concept for attributes related to the property's policy on specific groups of guests that are welcome while restricting other guests from staying; Broader concept for rules established and enforced by the property
a755615c-8d44-41b0-85b6-3551478722bc,Renovation:Pool:Instance2:Outdoor,PROPERTY,Outdoor pool,"PartnerCentral:Renovations, Pool, Renovation","During the second instance of renovation, the property will offer an alternate outdoor pool"
a8085d82-fed0-4699-8c02-ad2b0c3ddde3,CityTax:Instance3:AmountFee:Mandatory:ForAdults,PROPERTY,City tax instance 3,"Fee, MandatoryFee, NonPartnerCentral, Taxation",Third instance of the mandatory city tax fee for adults
d8e80290-a9c9-47e0-acde-820613f759e8,KidsMeal:DiscountPercentageOffer:PerDay:PerRoom:ForChildren:ValueAdd,VALUE_ADD_PROMOTION,%percent% Kids meal discount per day,"Dining, FamilyAndChildren, FoodAndBeverage, RatePlan, Restaurant, StandardValueAdd, ValueAdd, ValueAddPromotion, VAP:KidsMeal, VAP:OfferType:Discount",Value add promotion inclusion for a discounted percentage amount off of children's meals per room per day
e0bf4f65-2c44-11b2-8099-ba344c143c93,SocialDistancing,PROPERTY,Social distancing measures are in place,"KBYG, PartnerCentral:TravelerSafety, Safety, StayPolicy, StructuredAttributeContent","Social distancing (maintaining a certain minimum distance between individual persons) measures/requirements are being implemented at the property
"
fbcfba45-8482-454b-9264-e93685ef083f,MagnifyingMirror:BookableUnit,ROOM_UNIT,Magnifying mirror,"Accessibility, LCS, PartnerCentral:Accessibility, StructuredAttributeContent",This bookable unit has a magnifying mirror (a mirror that makes objects appear bigger than they actually are) intended for shaving or applying makeup
13211a65-1bc6-47fd-b67c-c47aad9904ac,FireEmergencyContact:BookableUnit,ROOM_UNIT,Fire emergency contact,"PartnerCentral:TravelerSafety, Safety, StructuredAttributeContent, Vrbo",There is emergency fire contact information in the unit
6d08b6ac-d331-11e9-bb65-2a2ae2dbcce4,Bedroom:ChildBed:Instance,PROPERTY,Child bed,"LCS, Vrbo",The bedroom has one or more child-sized beds
ff540aaa-b1b8-4425-afa0-af439f0a9e41,Cleaning:Fee:Mandatory:Unavailable,PROPERTY,No cleaning fee,"ContentQualityScore, FacilitiesFee, Housekeeping, LCS, MandatoryFee, PartnerCentral:FacilityFee, Vrbo",The property does not collect a mandatory cleaning fee (confirmed negative)
1c105402-93c8-48fc-acd2-b840616671d3,HeightAdjustedAmenities:BookableUnit,ROOM_UNIT,Height-adjusted amenities,"Accessibility, LCS, PartnerCentral:Accessibility, StructuredAttributeContent","Some bookable units have amenities (door handles, mirrors, counters, etc.) that are adjusted for easy access for guests with limited mobility"
8aaf0abb-eed2-4804-9ed3-33a2563be276,FoodAndBeverage,PROPERTY,Food and beverage,"Dining, FoodAndBeverage, Restaurant",Food and beverages are offered at the property
747310ed-27ee-47d7-a291-2a371b4ffbf8,CeilingFan:BookableUnit,ROOM_UNIT,Ceiling fan,"ClimateControl, ContentScore, LCS, PartnerCentral:ClimateControl, StructuredAttributeContent, Vrbo",The unit features a ceiling fan
3c92c3d0-e2b7-4e93-b2a2-b82160018014,ColombiaVAT:Fee:Mandatory,PROPERTY,ColombiaVAT,"Fee, MandatoryFee, PriceQualityComplianceAttribute, Taxation","The 19% national VAT (value-added tax) is not included in the price, and may be charged at the property upon check-out; Travelers on a tourist visa may seek a refund for this tax"
aaae8222-0bba-11ea-8d71-362b9e155667,YogaClass:Onsite:UnknownAvailability,PROPERTY,Yoga classes/instruction on site - no,null,The partner has not specified whether or not the property has yoga classes available on site
3b69cd89-2c54-11b2-80bc-8a1f5365793b,Masks:Mandatory,PROPERTY,Masks are compulsory at the property,"KBYG, PartnerCentral:TravelerSafety, Safety, StayPolicy, StructuredAttributeContent","Masks are compulsory at the property for all guests
"
4a23e61c-759d-4ac6-89fc-390df22f5561,IceSkating,LODGING_UNDEFINED,Ice skating,null,Parent concept for ice skating (the sport or activity of moving on ice wearing boots with thin metal bars attached to the bottoms) amenities
6ce60276-1f46-41a0-9e5d-92b077d56f05,Gala:Dinner:Fee:Mandatory:NewYearsDay,PROPERTY,Required New Years Day gala dinner fee,"Dining, Fee, FoodAndBeverage, Gala, MandatoryFee, PartnerCentral:Dining, Restaurant",A mandatory fee is charged for all guests staying on January 1 for a gala dinner
eeeb22de-f14d-43ab-948c-a86dafd615d9,Playpen:ForChildren,LODGING_UNDEFINED,Playpen,FamilyAndChildren,A playpen (small portable enclosure used for babies or toddlers to play safely)
4a43c39f-76c1-457b-b14c-c49c3a829367,Restaurant:Instance2:NameUnspecified,PROPERTY,Restaurant/bar 2,"Dining, FoodAndBeverage, PartnerCentral:Dining, Restaurant",The second dining venue does not have a name provided
f13dec56-4e3c-4e5c-9c30-a04039a58217,Laundry:InRoom:UnknownAvailability,PROPERTY,No in-room laundry,"ContentScore, PartnerCentral:Conveniences",It is unknown if laundry machines are available in all bookable units at this property
eaef639f-b8a7-4abf-b919-53423fdcaac0,Sea:NearbyLocation,PROPERTY,By sea,"ContentScore, LCS, Location, PartnerCentral:NatureHighlights, PartnerCentral:VrboPropertyLocation, StructuredAttributeContent, Vrbo",This property is located by the sea
88ae5148-e981-48db-a564-d1c371f926d1,CantoneseBreakfast:AmountFee,PROPERTY,Cantonese breakfast (surcharge),"Breakfast, ContentScore, Dining, Fee, FoodAndBeverage, LCS, OptionalFee, PartnerCentral:Breakfast",Traditional Cantonese-style breakfast is available for a fee
e57c3a52-5fbc-475b-aed2-5c9365dfade7,AirportShuttle:Accessible,PROPERTY,Accessible airport shuttle,"Accessibility, AirportTransfer, LCS, PartnerCentral:AirportTransportation, StructuredAttributeContent, Transportation","The airport shuttle is accessible for wheelchair users and other travelers who use mobility devices (such as walkers, canes or scooters)"
cbcc4571-5968-4293-b057-a0b6529a686a,IncidentalsPayment:Onsite,PROPERTY,Payment for incidentals on site,"PaymentMethods, StayPolicy, StructuredAttributeContent","This property accepts specific types of payments for deposits paid on site; use with PrepaidCreditCard, PrepaidDebitCard, or Prepaid Gift Card"
e022af3c-7bc2-4c34-b63e-32a2458a5c44,BaseLocale,PROPERTY,Partner Preferred Language,null,The language  used by the partner during the onboarding process
96e1db82-3d88-46c0-9322-3b758ec44289,SelfParking:Free:UnknownAvailability,PROPERTY,No free parking,Parking,It is unknown if free self-parking is available at the property or not
5002202c-5322-44d8-8e2f-94c709529e83,LeverDoorHandles,PROPERTY,Lever door handles,"Accessibility, LCS, PartnerCentral:Accessibility, StructuredAttributeContent","All bookable units are equipped with lever door handles (a door handle that is used by pushing down or pulling up a lever, rather than turning a knob) to allow for greater accessibility "
34b1e6ab-426d-480f-b268-9e42632b8691,Bar:Instance3,PROPERTY,Bar #3,"Bar, Dining, FoodAndBeverage, PartnerCentral:Dining, SearchFilter:Bar",The third bar on-site at the property
faca546b-9647-4fda-b0a4-6335d6826d60,xCrib:FeeUnknownAmount:ForChildren,PROPERTY,Crib fee charged,"LCS, PartnerCentral:Bedding","Deprecated due to CAM-461
Base attribute: Crib
Base term: FeeUnknownAmount, ForChildren
Category: PartnerCentral:Bedding
There is a fee for the crib, but the amount is unknown/has not been specified by the partner."
569aafc4-6f76-4183-b4d0-8f8433abb408,MusicalInstruments,PROPERTY,Musical instruments,"FamilyAndChildren, LCS, PartnerCentral:FamilyAndChildren, StructuredAttributeContent","Musical instruments (e.g. guitar, drums, etc.) are available for guests to use at the property"
8a4fdd29-d267-4bd5-bd31-c05f98c5748f,xWaterskiis,LODGING_UNDEFINED,Water skis,null,Deprecated per CAM-226 (https://jira.expedia.biz/browse/CAM-226); Base attribute removed: Waterskiis
5cd41595-0801-455a-ac1f-6a503fcd499a,SmartTV:BookableUnit,ROOM_UNIT,Smart TV,"ContentQualityScore, ContentScore, Entertainment, LCS, PartnerCentral:RoomEntertainment, StructuredAttributeContent, TV, Vrbo","This bookable unit offers a smart TV (an Internet-enabled TV set that includes free and paid streaming apps such as YouTube, Netflix, Amazon Prime and Hulu)"
2d418748-e056-48ee-90fe-4110deef9640,TokyoCityTax:Fee:Mandatory,PROPERTY,City/Local-Tokyo,"Fee, MandatoryFee, NonPartnerCentral, PriceQualityComplianceAttribute, Taxation","A mandatory city tax is imposed by the city, this tax ranges from JPY 100-200 per person, per night based on the nightly room rate. The tax does not apply to nightly rates under JPY 10,000"""
a802cfbf-eafa-4b67-8241-b31c05966c8f,CleaningSupplies:BookableUnit,ROOM_UNIT,Cleaning supplies,"Housekeeping, Kitchen, LCS, PartnerCentral:KitchenFeatures, StructuredAttributeContent","This bookable unit has implements and substances for cleaning, such as disinfectants, cloths, and brooms"
ddb96ad8-ba26-11e8-96f8-529269fb1459,ContinentalBreakfast:CreditAmountOffer:PerDay:PerPerson:GuestLimit:ValueAdd,VALUE_ADD_PROMOTION,%amount% continental breakfast credit for %person_count% per day,"Breakfast, Dining, FoodAndBeverage, RatePlan, StandardValueAdd, ValueAdd, ValueAddPromotion",Value add promotion inclusion for a credit amount toward continental breakfast per person per day for a specified number of guests
92af5c73-275f-41b3-9ff8-e0a1cb2959a2,UpgradeOffer:Free:PerStay:PerRoom:ValueAdd,VALUE_ADD_PROMOTION,Free upgrade,"RatePlan, StandardValueAdd, ValueAdd, ValueAddPromotion, VAP:FreeUpgrade, VAP:OfferType:Free",Value add promotion inclusion for free upgrade per room per stay
5218d0b0-58fc-4fca-925e-af76bfee0ab3,Venue:HappyHour:Instance3,PROPERTY,Happy hour,"Dining, FoodAndBeverage, PartnerCentral:Dining, Restaurant",The third dining venue has designated times when discounted food/beverages are offered
a8453f98-fa7c-11e9-8f0b-362b9e155667,CapsuleHotelStructure,PROPERTY,Capsule hotel,"ConventionalLodgingStructureType, LCS, NonPartnerCentral, Structure","Property with small chambers (capsules), the size of a single bed, which are booked as a single unit (rather than booking a room with pods)"
83d8471b-b6dc-4284-a0db-75d005a75474,NorwegianSpoken,PROPERTY; ROOM_UNIT,Norwegian,"ContentScore, Language, LCS, PartnerCentral:Languages, StructuredAttributeContent, Vrbo",This language is spoken by staff at this property: Norwegian
b723b3f4-2d3a-445d-a46c-743f26b0473c,PickleballCourt:Indoor:(Count),PROPERTY,Indoor pickleball courts -,null,The number of indoor pickleball courts at the property. Created for CAM-759
372042fb-24a4-4ffa-ba20-7e3138b437ff,xCleaningSupplies:AmountFee:Mandatory:(Interval),PROPERTY,Cleaning supplies fee duration -,null,"Deprecated due to CAM-454
Data term: Interval
Enum value: per day, per night, per stay, per week
Duration of stay to which the mandatory cleaning supplies fee is applied (per night, per stay, per week, etc.); used with CleaningSupplies:AmountFee:Mandatory(Amount), CleaningSupplies:AmountFee:Mandatory(Scope)
"
4deafb69-7fec-455c-816c-cf643ade2504,Resort:PercentageFee:Mandatory,PROPERTY,Resort percentage fee,"ContentQualityScore, ContentScore, Fee, MandatoryFee, PartnerCentral:ResortFee, ResortFee",The property charges a mandatory resort percentage fee
bc4676ad-f24c-4950-8bf6-f9a96a2092c6,VrboKitchenAndDiningModule:UnknownAvailability,PROPERTY,No Vrbo 'Kitchen and dining' amenities available,Vrbo,Property owner has reviewed amenities in Property Editor's 'Kitchen and dining' module and has not selected any of them.
51b6b5d3-4875-4c0a-8a57-72ed561ffac8,Parking:TemporaryClosure,PROPERTY,Parking services,"Closure, Parking, PartnerCentral:Closures",The parking area is temporarily closed
baa1a751-6cdd-4e96-a4e9-b18c1ecaa5b8,CarbonMonoxideDetector:Unavailable:BookableUnit,ROOM_UNIT,No carbon monoxide detector,"ContentQualityScore, LCS, PartnerCentral:TravelerSafety, Safety, StructuredAttributeContent, Vrbo",No carbon monoxide detector in unit. A carbon monoxide detector is a device that detects the presence of the carbon monoxide (CO) gas to prevent carbon monoxide poisoning.
41f2cd3a-1daf-484e-9a35-ea9b3a77b97e,HorseRiding,LODGING_UNDEFINED,Horse riding,null,Broader concept for horse riding amenities
7552e052-1dec-11ea-978f-2e728ce88125,Stovetop:BookableUnit:(Description),ROOM_UNIT,Description,null,Description of the bookable unit's stovetop area
54b10124-8e10-11e9-bc42-526af7764f64,Casino:VoucherAmountOffer:PerStay:PerRoom:ValueAdd:(Version),VALUE_ADD_PROMOTION,Version,null,The version of value add promotion for a voucher amount toward casino play per room per stay
ddbc5806-ba26-11e8-96f8-529269fb1459,Tour:CreditAmountOffer:PerStay:PerPerson:GuestLimit:ValueAdd:(CurrencyCode),VALUE_ADD_PROMOTION,Currency code,null,The currency code for a value add promotion for credit toward tour(s) per person per stay for a specified number of guests
1383b146-ba5b-478d-b2ae-3cd1212d0b3e,Breakfast:AmountFee:Weekdays:(StartTime),PROPERTY,Breakfast (surcharge) - Weekday start time,null,"A fee is charged for breakfast Monday-Friday, starting at this time"
